web-scraper-order,web-scraper-start-url,voiture_link,voiture_link-href,etat,marque,annee,boite_vitesse,adresse,prix,image-src
"1750847019-85","https://www.expat-dakar.com/voitures?page=361","Mazda cx5  2019
                                D'occasionMazda2019Automatique
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        18. mars, 22:11
                                    
                    13 000 000 F Cfa
                        
                        773304961
                    
                        775929618","https://www.expat-dakar.com/annonce/mazda-cx5-2019-6313420","D'occasion","Mazda","2019","Automatique","Ouest foire","13 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3746c73411a70595bea5eca553e5c9e3/-/horizon-files-prod/ed/picture/qenv66rz/b51ef6cc743bffb3c44d9334e379c0e3bf78a404.jpg"
"1750847022-86","https://www.expat-dakar.com/voitures?page=361","Ford  fusion titanium 2017
                                D'occasionFord2016Automatique
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        18. mars, 22:33
                                    
                    5 850 000 F Cfa
                        
                        773304961
                    
                        775929618","https://www.expat-dakar.com/annonce/ford-fusion-titanium-2017-6313423","D'occasion","Ford","2016","Automatique","Ouest foire","5 850 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/79d7738c13f5c5d865c114800cff1e17/-/horizon-files-prod/ed/picture/q78wkkjz/4da4462d0fc2093d8357411b1a23814cbc731b4b.jpg"
"1750847025-87","https://www.expat-dakar.com/voitures?page=361","Range Rover évoque 2016
                                VenantRange Rover2016Automatique
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        18. mars, 22:38
                                    
                    1 F Cfa
                        
                        773304961
                    
                        775929618","https://www.expat-dakar.com/annonce/range-rover-evoque-2016-6313433","Venant","Range Rover","2016","Automatique","Ouest foire","1 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/493c390a88deeea18f6ef9267f1e8319/-/horizon-files-prod/ed/picture/qxjp55g8/9bd2b1ca8959368056da5fe2e248eae58dd72f16.jpg"
"1750847028-88","https://www.expat-dakar.com/voitures?page=361","Kia Rio 2016
                                VenantKia2016Automatique
                                                                                    Colobane,
                                                                                Dakar
                                    
                                        22. mars, 00:27
                                    
                    4 900 000 F Cfa
                        
                        773158255","https://www.expat-dakar.com/annonce/kia-rio-2016-6313435","Venant","Kia","2016","Automatique","Colobane","4 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7e5c65fe7c13587042b1f43165eb9ecf/-/horizon-files-prod/ed/picture/qgqwvvp4/8b4b14a2ae9907d0ff75a76622db8686fe3390de.jpg"
"1750847031-89","https://www.expat-dakar.com/voitures?page=361","Kia Rio  2017
                                D'occasionKia2017Manuelle
                                                                                    Sicap Sacré-cœur,
                                                                                Dakar
                                    
                                        18. mars, 23:14
                                    
                    4 700 000 F Cfa
                        
                        779516527","https://www.expat-dakar.com/annonce/kia-rio-2017-6313447","D'occasion","Kia","2017","Manuelle","Sicap Sacré-cœur","4 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2fca970c6a3c5fa1c23db0d13769c27e/-/horizon-files-prod/ed/picture/q0g7qqne/4c91ba67a302b2486844d91d0acf1f32df773897.jpg"
"1750847034-90","https://www.expat-dakar.com/voitures?page=361","Toyota hilux 2019
                                D'occasionToyota2019Manuelle
                                                                                    Rufisque,
                                                                                Dakar
                                    
                                        13. avr., 19:26
                                    
                    19 500 000 F Cfa
                        
                        781361170","https://www.expat-dakar.com/annonce/toyota-hilux-2019-6302287","D'occasion","Toyota","2019","Manuelle","Rufisque","19 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e729778203b6cc4c80d33acc638a9f0f/-/horizon-files-prod/ed/picture/qzvpnn8q/bd228b4102f4c0719a2f41dd61807c844c6b7d07.jpg"
"1750847040-91","https://www.expat-dakar.com/voitures?page=360","KIA K5 2015
                                D'occasionKia2015Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        28. mars, 13:59
                                    
                    4 000 000 F Cfa
                        
                        772045576","https://www.expat-dakar.com/annonce/kia-k5-2015-6314115","D'occasion","Kia","2015","Automatique","VDN","4 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7d60cda7a576be46f38d978057436292/-/horizon-files-prod/ed/picture/qj4qnvg6/d45fe93d6981a1568f57c96f83ff35f9d8259489.jpg"
"1750847051-92","https://www.expat-dakar.com/voitures?page=360","Mitsubishi ASX
                                D'occasionMitsubishi2020Automatique
                                                                                    Saly Portudal,
                                                                                Thiès
                                    
                                        jeudi, 14:10
                                    
                    12 899 000 F Cfa
                        
                        781195757
                    
                        766843853","https://www.expat-dakar.com/annonce/mitsubishi-asx-6314081","D'occasion","Mitsubishi","2020","Automatique","Saly Portudal","12 899 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/33ec4e750b97c3b4f813294923289c5d/-/horizon-files-prod/ed/picture/qj4qnvdg/7db2ca85bb4b37ab003af60e2328954474dac107.jpg"
"1750847054-93","https://www.expat-dakar.com/voitures?page=360","Ford Edge SEL 2015
                                D'occasionFord2015Automatique
                                                                                    Keur ndiaye lô,
                                                                                Dakar
                                    
                                        7. mai, 16:58
                                    
                    7 000 000 F Cfa
                        
                        774360950
                    
                        774360950
                    
                        763722121","https://www.expat-dakar.com/annonce/ford-edge-sel-2015-6314168","D'occasion","Ford","2015","Automatique","Keur ndiaye lô","7 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a07062c0ceca5e2a43f59abae121bdc3/-/horizon-files-prod/ed/picture/qv4w2n6v/8fa440ba180470536334917cbcc1cbbfbd45c776.jpg"
"1750847057-94","https://www.expat-dakar.com/voitures?page=360","MITSUBISHI OUTLANDER SPORT
                                D'occasionMitsubishi2015Automatique
                                                                                    Mbour,
                                                                                Thiès
                                    
                                        13. avr., 16:18
                                    
                    4 500 000 F Cfa
                        
                        775568461","https://www.expat-dakar.com/annonce/mitsubishi-outlander-sport-6300343","D'occasion","Mitsubishi","2015","Automatique","Mbour","4 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/06e32c4cec01249018cb56ec08bdaa03/-/horizon-files-prod/ed/picture/qzvpnk88/7d5bbaa554c5e82c3781991adbea44cad394cbf3.jpg"
"1750847060-95","https://www.expat-dakar.com/voitures?page=360","Ford Edge 2015
                                D'occasionFord2015Automatique
                                                                                    Sicap baobab,
                                                                                Dakar
                                    
                                        30. mars, 04:58
                                    
                    6 000 000 F Cfa","https://www.expat-dakar.com/annonce/ford-edge-2015-6314528","D'occasion","Ford","2015","Automatique","Sicap baobab","6 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a66c62b364759f2fcd35ef7427a2b3d1/-/horizon-files-prod/ed/picture/qwepqm5m/c06e39eae745b15fff1e8aa2e7e05a78d99db089.jpg"
"1750847063-96","https://www.expat-dakar.com/voitures?page=360","Lexus NX 200 2018
                                VenantLexus2018Automatique
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        19. mars, 21:39
                                    
                                            Vendeur vérifié
                                        
                    18 000 000 F Cfa
                        
                        775441821
                    
                        775775673","https://www.expat-dakar.com/annonce/lexus-nx-200-2018-6314735","Venant","Lexus","2018","Automatique","Sicap foire","18 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a529c4382c619a4d5ac8575705ed72aa/-/horizon-files-prod/ed/picture/qgqw2528/e0c53b1c6c02016db2a4bc51bf93d919c60f7550.jpg"
"1750847066-97","https://www.expat-dakar.com/voitures?page=360","Mazda 3
                                VenantMazda2017Automatique
                                                                                    Grand-Dakar,
                                                                                Dakar
                                    
                                        11. juin, 11:11
                                    
                    6 500 000 F Cfa
                        
                        776472966","https://www.expat-dakar.com/annonce/mazda-3-6314763","Venant","Mazda","2017","Automatique","Grand-Dakar","6 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/088abc6376f4f904db01a4944849e01b/-/horizon-files-prod/ed/picture/q56d76wn/b8c3f3aa327bc077c15886c07755e8794897f6fc.jpg"
"1750847069-98","https://www.expat-dakar.com/voitures?page=360","Ford Escape 2017 4x4
                                D'occasionFord2017Automatique
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        3. avr., 12:23
                                    
                    5 950 000 F Cfa
                        
                        785209797","https://www.expat-dakar.com/annonce/ford-escape-2017-4x4-6314533","D'occasion","Ford","2017","Automatique","Almadies","5 950 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/90e9e50e8dbc686b63da53579d2ae27f/-/horizon-files-prod/ed/picture/qxjp4de8/26253da4de7cf5f245c7741445ba5653a4f15a9d.jpg"
"1750847085-99","https://www.expat-dakar.com/voitures?page=360","HYUNDAI ELANTRA 2017
                                VenantHyundai2017Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        3. avr., 13:59
                                    
                    5 500 000 F Cfa
                        
                        771341824
                    
                        771341824","https://www.expat-dakar.com/annonce/hyundai-elantra-2017-6315511","Venant","Hyundai","2017","Automatique","Liberte 6","5 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/739eaf9836326bc0077ee8aca5bd09fa/-/horizon-files-prod/ed/picture/qxjp46em/cd6c862e166788b7d5e517ebfae8ddd69423a329.jpg"
"1750847088-100","https://www.expat-dakar.com/voitures?page=360","Jeep Cherokee 2016
                                VenantJeep2016Automatique
                                                                                    Mbao,
                                                                                Dakar
                                    
                                        22. avr., 16:23
                                    
                    6 800 000 F Cfa
                        
                        772937648","https://www.expat-dakar.com/annonce/jeep-cherokee-2016-6315567","Venant","Jeep","2016","Automatique","Mbao","6 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/070cd25388bed586a4f10c0ed22c89a0/-/horizon-files-prod/ed/picture/q78wn7qj/1b2ae31cf2335fa9ba02878b0efcde4c8c01797f.jpg"
"1750847095-101","https://www.expat-dakar.com/voitures?page=359","Hyundai elantra
                                VenantHyundai2017Automatique
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        20. mars, 21:31
                                    
                    5 850 000 F Cfa
                        
                        772201467","https://www.expat-dakar.com/annonce/hyundai-elantra-6315808","Venant","Hyundai","2017","Automatique","Almadies","5 850 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3d41068fd94d9e87cf17e53166cedad9/-/horizon-files-prod/ed/picture/q8v4q544/c32e18dc15eef888a428e1802ff0d872680aa5e5.jpg"
"1750847098-102","https://www.expat-dakar.com/voitures?page=359","Ford fusion
                                D'occasionFord2014Automatique
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        23. avr., 16:00
                                    
                    3 550 000 F Cfa
                        
                        772201467","https://www.expat-dakar.com/annonce/ford-fusion-6315819","D'occasion","Ford","2014","Automatique","Almadies","3 550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0bc744cb87cff05026207d8ea0a8b63a/-/horizon-files-prod/ed/picture/q56d7xdn/a7833afe5bb4d0ce5c80336dce78d584a75a6bbd.jpg"
"1750847154-103","https://www.expat-dakar.com/voitures?page=359","Peugeot 2008
                                NeufPeugeot2016Manuelle
                                                                                    Nord foire,
                                                                                Dakar
                                    
                                        21. mars, 00:26
                                    
                    6 300 000 F Cfa
                        
                        778242268","https://www.expat-dakar.com/annonce/peugeot-2008-6300147","Neuf","Peugeot","2016","Manuelle","Nord foire","6 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c07e6883e8a57f604863525ad1568e8d/-/horizon-files-prod/ed/picture/q0g7evr8/a95137b042ce0967d13bb5cdcb91eeed75a92690.jpg"
"1750847172-104","https://www.expat-dakar.com/voitures?page=359","2016 MITSUBISHI OUTLANDER SPORT
                                VenantMitsubishi2016Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        2. avr., 12:40
                                    
                    8 000 000 F Cfa
                        
                        773785200
                    
                        779243562
                    
                        775573057","https://www.expat-dakar.com/annonce/2016-mitsubishi-outlander-sport-6315830","Venant","Mitsubishi","2016","Automatique","VDN","8 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2cba445f92610a6e2a7c6fa3abbea944/-/horizon-files-prod/ed/picture/q8v4q5m4/62fc476e64c0bbbbc88e0aed67e8e9ae914810ac.jpg"
"1750847175-105","https://www.expat-dakar.com/voitures?page=359","JAGUAR F-TYPE 2019
                                VenantJaguar2019Automatique
                                                                                    Fass,
                                                                                Dakar
                                    
                                        lundi, 02:38
                                    
                    17 400 000 F Cfa
                        
                        776162942","https://www.expat-dakar.com/annonce/jaguar-f-type-2019-6316671","Venant","Jaguar","2019","Automatique","Fass","17 400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cf6e04b473bde96a1e9987027ca38028/-/horizon-files-prod/ed/picture/qngprprw/718c373ec7aa1fcef99cbb4fb41cd8c1b5b17d89.jpg"
"1750847185-106","https://www.expat-dakar.com/voitures?page=359","Mitsubishi Outlander 2022
                                VenantMitsubishi2022Automatique
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        dimanche, 16:38
                                    
                    16 800 000 F Cfa
                        
                        775062216","https://www.expat-dakar.com/annonce/mitsubishi-outlander-2022-6310465","Venant","Mitsubishi","2022","Automatique","Ouest foire","16 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7658984b7193a0a371eb64fdbdc15330/-/horizon-files-prod/ed/picture/qzvp7wdr/c2b1058cfa4104b5d7f80c3b38fbb633a9a43905.jpg"
"1750847201-107","https://www.expat-dakar.com/voitures?page=359","Toyota Hilux 2018
                                VenantToyota2018Manuelle
                                                                                    Pikine,
                                                                                Dakar
                                    
                                        29. avr., 19:58
                                    
                    17 000 000 F Cfa
                        
                        778572929
                    
                        780181447
                    
                        776177371","https://www.expat-dakar.com/annonce/toyota-hilux-2018-6298269","Venant","Toyota","2018","Manuelle","Pikine","17 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/529cdb6b91564e8bfcb278ea727e9a04/-/horizon-files-prod/ed/picture/q0g7e5qm/b735223decd82ac692ce4454eadb10f2ff2acc8c.jpg"
"1750847208-108","https://www.expat-dakar.com/voitures?page=359","Jeep cheroke Trail hawk 4 cylindres
                                VenantJeep2016Automatique
                                                                                    Nord foire,
                                                                                Dakar
                                    
                                        21. mars, 21:47
                                    
                    9 500 000 F Cfa
                        
                        783719543","https://www.expat-dakar.com/annonce/jeep-cheroke-trail-hawk-4-cylindres-6310563","Venant","Jeep","2016","Automatique","Nord foire","9 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6138d5a630da2b6d08be78a48c2891a5/-/horizon-files-prod/ed/picture/q56dmqr0/746f7ca39770c955099dc9b168fe95fe89fbb428.jpg"
"1750847230-109","https://www.expat-dakar.com/voitures?page=358","MASERATI QUTTROPORTE 2016
                                D'occasionMaserati2016Automatique
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        21. mars, 22:07
                                    
                    13 500 000 F Cfa
                        
                        771026605
                    
                        775109300","https://www.expat-dakar.com/annonce/maserati-quttroporte-2016-6307306","D'occasion","Maserati","2016","Automatique","Point-e","13 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/251c8599e05fda0f5b0e84c1b27b9f7f/-/horizon-files-prod/ed/picture/qwepdn96/0b7ccaed49f54ef8e8bc8b06aa7e7c6df5c98d3a.jpg"
"1750847240-110","https://www.expat-dakar.com/voitures?page=358","Mitsubishi
                                VenantMitsubishi2018Automatique
                                                                                    Amitié,
                                                                                Dakar
                                    
                                        9. mai, 14:50
                                    
                    8 500 000 F Cfa
                        
                        776565320","https://www.expat-dakar.com/annonce/mitsubishi-6303320","Venant","Mitsubishi","2018","Automatique","Amitié","8 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6aa1ed35ed370f4987582dcae81c829c/-/horizon-files-prod/ed/picture/qenv0gxj/28b1fd02d4998097521577219df4d554491d0bc2.jpg"
"1750847243-111","https://www.expat-dakar.com/voitures?page=358","Jeep Cherokee Trailhawk à vendre
                                D'occasionJeep2015Automatique
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        1. avr., 22:48
                                    
                    5 000 000 F Cfa
                        
                        776387326","https://www.expat-dakar.com/annonce/jeep-cherokee-trailhawk-a-vendre-6311948","D'occasion","Jeep","2015","Automatique","Cité keur gorgui","5 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5fbf3c92e8e5457276ef33fed1833e9f/-/horizon-files-prod/ed/picture/q9mjpqjv/f21c80cba581186ceb3170ead33c65f6082a5c25.jpg"
"1750847269-112","https://www.expat-dakar.com/voitures?page=358","2017 Hyundai Santa Fe sport 2.0 Turbo
                                VenantHyundai2017Automatique
                                                                                    Sicap foire,
                                                                                Dakar
                                    
                                        dimanche, 16:38
                                    
            8 350 000 F Cfa
        
                    8 700 000 F Cfa
                        
            Économisez 4%
        
                        771171487","https://www.expat-dakar.com/annonce/2017-hyundai-santa-fe-sport-20-turbo-6317300","Venant","Hyundai","2017","Automatique","Sicap foire","8 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/af936945fba67205f761dc8521168603/-/horizon-files-prod/ed/picture/q6xd0nn7/055dfe11e1a489a33ebb69fb4024bb0c0c58b6fb.jpg"
"1750847277-113","https://www.expat-dakar.com/voitures?page=358","Toyota Prado land cruiser 2020
                                VenantToyota2020Automatique
                                                                                    Mbao,
                                                                                Dakar
                                    
                                        2. avr., 22:08
                                    
                    22 000 000 F Cfa
                        
                        772937648","https://www.expat-dakar.com/annonce/toyota-prado-land-cruiser-2020-6317466","Venant","Toyota","2020","Automatique","Mbao","22 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/947f6e01474d77863d6e1faf3369d567/-/horizon-files-prod/ed/picture/q6xd0n24/a9ee957b15f6911bab51c091bc43e6493af6f031.jpg"
"1750847297-114","https://www.expat-dakar.com/voitures?page=358","Renault Kangoo
                                D'occasionRenault2009Manuelle
                                                                                    Mbao,
                                                                                Dakar
                                    
                                        8. avr., 01:22
                                    
                    2 500 000 F Cfa
                        
                        772937648","https://www.expat-dakar.com/annonce/renault-kangoo-6317320","D'occasion","Renault","2009","Manuelle","Mbao","2 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0bf233f1644726aa84b6d2f4f2cf9d35/-/horizon-files-prod/ed/picture/qenvg996/2f3b8d6bcd66dcfa1da8a4a0ab68d36b1a1e0971.jpg"
"1750847308-115","https://www.expat-dakar.com/voitures?page=358","Toyota Fortuner 2016
                                VenantToyota2016Manuelle
                                                                                    VDN,
                                                                                Dakar
                                    
                                        5. avr., 14:06
                                    
                    7 800 000 F Cfa
                        
                        778557611","https://www.expat-dakar.com/annonce/toyota-fortuner-2016-6309686","Venant","Toyota","2016","Manuelle","VDN","7 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7066eebc2ff269b3289f3b5d878efed6/-/horizon-files-prod/ed/picture/qenv6j76/5feca5897cae0ee18d450fa0c83ff553c968f5a1.jpg"
"1750847323-116","https://www.expat-dakar.com/voitures?page=357","Jeep grand cherokee v6 2015
                                D'occasionJeep2015Automatique
                                                                                    Rufisque,
                                                                                Dakar
                                    
                                        12. mai, 17:50
                                    
                    9 000 000 F Cfa
                        
                        775038270
                    
                        763236354
                    
                        765773559","https://www.expat-dakar.com/annonce/jeep-grand-cherokee-v6-2015-6263127","D'occasion","Jeep","2015","Automatique","Rufisque","9 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/eba709014bdc4cb75b2f890441b188d3/-/horizon-files-prod/ed/picture/qngpqp0k/855876f913f07ff7981e8283569c28f574b71b9c.jpg"
"1750847333-117","https://www.expat-dakar.com/voitures?page=357","X6
                                RéconditionnéBMW2025Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        30. mars, 00:37
                                    
                    89 000 000 F Cfa
                        
                        779065489
                    
                        779065489","https://www.expat-dakar.com/annonce/x6-6317730","Réconditionné","BMW","2025","Automatique","Liberte 6","89 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/46ae8cc7a971ca6cea0af9ca49d57f45/-/horizon-files-prod/ed/picture/q8v4qk5x/621af16c0e1ad391cc24ff1984962e688b062c4f.jpg"
"1750847336-118","https://www.expat-dakar.com/voitures?page=357","Ford F150 année 2024
                                NeufFord2024Automatique
                                                                                    Castor,
                                                                                Dakar
                                    
                                        14. mai, 13:06
                                    
                    25 000 000 F Cfa
                        
                        772769607","https://www.expat-dakar.com/annonce/ford-f150-annee-2024-6318667","Neuf","Ford","2024","Automatique","Castor","25 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/efbc7f133ce1aea3f0f11d47d533e310/-/horizon-files-prod/ed/picture/q78wng75/50aae93efbe77c7ef1529bedba7ed635b27ad74a.jpg"
"1750847355-119","https://www.expat-dakar.com/voitures?page=357","HYUNDAI TUCSON 2018
                                VenantHyundai2018Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        6. mai, 17:31
                                    
                    11 800 000 F Cfa
                        
                        772045576","https://www.expat-dakar.com/annonce/hyundai-tucson-2018-6318931","Venant","Hyundai","2018","Automatique","VDN","11 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/58916e4a3bbd9c32c8816909c2d9973b/-/horizon-files-prod/ed/picture/q44nepw8/f6eb954c572eac10ebcfec6ff76908fdfc86178d.jpg"
"1750847362-120","https://www.expat-dakar.com/voitures?page=357","MAZDA CX-5 GT 2019
                                VenantMazda2019Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        6. mai, 17:32
                                    
                    12 300 000 F Cfa
                        
                        772045576","https://www.expat-dakar.com/annonce/mazda-cx-5-gt-2019-6318935","Venant","Mazda","2019","Automatique","VDN","12 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2ef50f18fbb7351e0d89b9697c1503e0/-/horizon-files-prod/ed/picture/qgqw2874/4a34832e9570cd5946e191eb7c476b0cafb40749.jpg"
"1750847367-121","https://www.expat-dakar.com/voitures?page=357","Kia forté
                                VenantKia2017Automatique
                                                                                    Cité Damel,
                                                                                Dakar
                                    
                                        17. mai, 14:08
                                    
                    5 300 000 F Cfa
                        
                        773508061","https://www.expat-dakar.com/annonce/kia-forte-6317146","Venant","Kia","2017","Automatique","Cité Damel","5 300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7323da33d2ef19cc3254f26e7d47ffa0/-/horizon-files-prod/ed/picture/qv4wndnm/e187ff6220a3a5c0c1e45dd19c43c6d6b0198e25.jpg"
"1750847380-122","https://www.expat-dakar.com/voitures?page=357","Mitsubishi outlander
                                VenantMitsubishi2017Automatique
                                                                                    Nord foire,
                                                                                Dakar
                                    
                                        25. mars, 21:45
                                    
                    8 500 000 F Cfa
                        
                        775666232
                    
                        774091928
                    
                        775666232","https://www.expat-dakar.com/annonce/mitsubishi-outlander-6319229","Venant","Mitsubishi","2017","Automatique","Nord foire","8 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c00c581d290f6f8827fdd3e74ba7f6bf/-/horizon-files-prod/ed/picture/qq42pgzn/a99c8e7baf9920522cf2905b32031a6ff769a34a.jpg"
"1750847387-123","https://www.expat-dakar.com/voitures?page=357","BMW X1 2018
                                VenantBMW2018Automatique
                                                                                    VDN,
                                                                                Dakar
                                    
                                        7. avr., 19:18
                                    
                    13 800 000 F Cfa
                        
                        772045576","https://www.expat-dakar.com/annonce/bmw-x1-2018-6319542","Venant","BMW","2018","Automatique","VDN","13 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7147c5e4456e701035acfb8874f0edf3/-/horizon-files-prod/ed/picture/qenvg206/ddaa69e572a2a132b22317409388155fb7777e36.jpg"
"1750847398-124","https://www.expat-dakar.com/voitures?page=357","Toyota  rave 4
                                D'occasionToyota2009Automatique
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        28. mars, 23:38
                                    
                    4 100 000 F Cfa
                        
                        777289578
                    
                        775578628","https://www.expat-dakar.com/annonce/toyota-rave-4-6320266","D'occasion","Toyota","2009","Automatique","Hann maristes","4 100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f85a9adae63d754690059f6e0ab2b5c6/-/horizon-files-prod/ed/picture/q6xd04vp/90625d2ce63a1484d3849bc355a1357a016c0278.jpg"
"1750847412-125","https://www.expat-dakar.com/voitures?page=356","Porsche  2022
                                D'occasionPorsche2022Automatique
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        14. mai, 12:38
                                    
                    52 000 000 F Cfa
                        
                        781431772","https://www.expat-dakar.com/annonce/porsche-2022-6320148","D'occasion","Porsche","2022","Automatique","Almadies","52 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d76cb27c963b6eeed4276c5bb3b84ca9/-/horizon-files-prod/ed/picture/q9mj469w/094f206bdbfeb02dde669afe6bcaad8e8a8a04fa.jpg"
"1750847418-126","https://www.expat-dakar.com/voitures?page=356","DODGE CARAVAN 7 places
                                D'occasionDodge2010Automatique
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        22. avr., 16:19
                                    
                    3 000 000 F Cfa
                        
                        776537253
                    
                        767735257","https://www.expat-dakar.com/annonce/dodge-caravan-7-places-6306903","D'occasion","Dodge","2010","Automatique","Mermoz","3 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0263d70038a5f9b48645d5dfeb7f6ecf/-/horizon-files-prod/ed/picture/q0g7qnjd/dd482f8ca38866db5c5801c1293310c5580310c8.jpg"
"1750847422-127","https://www.expat-dakar.com/voitures?page=356","Ford Ecape nickel 👌🏾
                                D'occasionFord2014Automatique
                                                                                    Thiès,
                                                                                Thiès
                                    
                                        5. avr., 00:59
                                    
                    3 900 000 F Cfa
                        
                        775045782","https://www.expat-dakar.com/annonce/ford-ecape-nickel-6317555","D'occasion","Ford","2014","Automatique","Thiès","3 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc61e8dbea08a644f61ed2023c6e6dec/-/horizon-files-prod/ed/picture/qxjp4gvn/1a966de8b8529eff0c94145ce052380d9b47af27.jpg"
"1750847427-128","https://www.expat-dakar.com/voitures?page=356","Hyundai Tucson 2017
                                VenantHyundai2017Automatique
                                                                                    Liberte 6,
                                                                                Dakar
                                    
                                        27. mars, 08:43
                                    
                    11 500 000 F Cfa
                        
                        773018501","https://www.expat-dakar.com/annonce/hyundai-tucson-2017-6321252","Venant","Hyundai","2017","Automatique","Liberte 6","11 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ea82f57fc12fe352413fdff74b8f9dab/-/horizon-files-prod/ed/picture/q8v4qrgr/65ec9568ecd64a3eb15e858e881d124584a2d560.jpg"
"1750847440-129","https://www.expat-dakar.com/voitures?page=356","Ford edge Sel 2017
                                VenantFord2017Automatique
                                                                                    Cité Damel,
                                                                                Dakar
                                    
                                        27. mars, 01:56
                                    
                    6 800 000 F Cfa
                        
                        775483835
                    
                        775483835","https://www.expat-dakar.com/annonce/ford-edge-sel-2017-6319064","Venant","Ford","2017","Automatique","Cité Damel","6 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f0de350246b9778e25b07cbe465ae24/-/horizon-files-prod/ed/picture/qenvgw6v/558fc469e230565d351b54de5a1cccc2e8050a53.jpg"
